command,cpu_shares,cpuset_cpus,create_ms,image,mem_limit,mode,nano_cpus,pull_ms,resource_name,start_ms,to_running_ms,total_ms,trial
sleep 5,128,,138.633834,alpine:3.20,128m,cold,500000000,1937.69,minimal,362.356166,4.905084,2443.5850840000003,1
sleep 5,128,,77.350584,alpine:3.20,128m,cold,500000000,14783.04175,minimal,176.482959,5.514,15042.389293,2
sleep 5,128,,75.336084,alpine:3.20,128m,cold,500000000,15652.470458,minimal,146.180667,6.648333,15880.635542,3
sleep 5,128,,98.285791,alpine:3.20,128m,cold,500000000,15437.61675,minimal,201.876542,3.943916,15741.722999,4
sleep 5,128,,86.648167,alpine:3.20,128m,cold,500000000,15234.721792,minimal,138.952375,4.983458,15465.305792000001,5
sleep 5,128,,97.892917,alpine:3.20,128m,warm,500000000,0.0,minimal,170.524208,12.28925,280.706375,1
sleep 5,128,,64.360291,alpine:3.20,128m,warm,500000000,0.0,minimal,115.860791,5.067042,185.288124,2
sleep 5,128,,58.221625,alpine:3.20,128m,warm,500000000,0.0,minimal,128.841667,3.781041,190.84433299999998,3
sleep 5,128,,102.656917,alpine:3.20,128m,warm,500000000,0.0,minimal,180.90625,3.20725,286.770417,4
sleep 5,128,,55.805625,alpine:3.20,128m,warm,500000000,0.0,minimal,144.472167,4.297584,204.575376,5
sleep 5,512,,73.542166,alpine:3.20,512m,cold,1000000000,3410.505084,balanced,126.518292,2.896,3613.4615420000005,1
sleep 5,512,,66.556417,alpine:3.20,512m,cold,1000000000,15582.4295,balanced,127.965916,4.006166,15780.957998999998,2
sleep 5,512,,80.372458,alpine:3.20,512m,cold,1000000000,15558.114792,balanced,199.20675,3.948125,15841.642125,3
sleep 5,512,,92.603,alpine:3.20,512m,cold,1000000000,15944.39925,balanced,194.322417,4.755416,16236.080082999999,4
sleep 5,512,,81.842584,alpine:3.20,512m,cold,1000000000,15074.49775,balanced,152.634542,2.874625,15311.849501,5
sleep 5,512,,176.272916,alpine:3.20,512m,warm,1000000000,0.0,balanced,275.719833,4.180584,456.173333,1
sleep 5,512,,69.385833,alpine:3.20,512m,warm,1000000000,0.0,balanced,150.066542,6.596917,226.049292,2
sleep 5,512,,150.202,alpine:3.20,512m,warm,1000000000,0.0,balanced,307.859458,4.683583,462.745041,3
sleep 5,512,,105.364167,alpine:3.20,512m,warm,1000000000,0.0,balanced,145.030916,3.644708,254.039791,4
sleep 5,512,,247.888125,alpine:3.20,512m,warm,1000000000,0.0,balanced,1016.389291,5.508333,1269.785749,5
sleep 5,1024,,60.3365,alpine:3.20,512m,cold,2000000000,1327.014166,highcpu,98.286583,3.747417,1489.384666,1
sleep 5,1024,,92.142125,alpine:3.20,512m,cold,2000000000,13933.74425,highcpu,157.216083,3.588583,14186.691041,2
sleep 5,1024,,134.847541,alpine:3.20,512m,cold,2000000000,15751.371167,highcpu,752.819958,8.566292,16647.604958,3
sleep 5,1024,,97.859708,alpine:3.20,512m,cold,2000000000,14888.667709,highcpu,146.391458,4.894084,15137.812958999999,4
sleep 5,1024,,106.467708,alpine:3.20,512m,cold,2000000000,15261.13725,highcpu,177.627875,3.892041,15549.124874,5
sleep 5,1024,,89.590666,alpine:3.20,512m,warm,2000000000,0.0,highcpu,219.153375,8.153459,316.89750000000004,1
sleep 5,1024,,75.641125,alpine:3.20,512m,warm,2000000000,0.0,highcpu,218.81,5.53975,299.990875,2
sleep 5,1024,,83.136958,alpine:3.20,512m,warm,2000000000,0.0,highcpu,149.529334,4.263584,236.929876,3
sleep 5,1024,,103.145042,alpine:3.20,512m,warm,2000000000,0.0,highcpu,264.5395,4.34025,372.024792,4
sleep 5,1024,,67.396917,alpine:3.20,512m,warm,2000000000,0.0,highcpu,122.597167,3.839583,193.833667,5
sleep 5,512,,62.734167,alpine:3.20,2g,cold,1000000000,2228.586292,highmem,130.270833,4.131042,2425.722334,1
sleep 5,512,,106.989083,alpine:3.20,2g,cold,1000000000,15798.574625,highmem,261.47825,8.726792,16175.76875,2
sleep 5,512,,82.160375,alpine:3.20,2g,cold,1000000000,15257.829959,highmem,169.1935,4.635958,15513.819792,3
sleep 5,512,,127.357458,alpine:3.20,2g,cold,1000000000,15460.73125,highmem,195.302583,7.261541,15790.652832000002,4
sleep 5,512,,75.679666,alpine:3.20,2g,cold,1000000000,15844.011375,highmem,137.072833,2.780458,16059.544332,5
sleep 5,512,,68.816167,alpine:3.20,2g,warm,1000000000,0.0,highmem,125.215209,4.455292,198.486668,1
sleep 5,512,,124.360709,alpine:3.20,2g,warm,1000000000,0.0,highmem,275.377792,14.076083,413.81458399999997,2
sleep 5,512,,78.179791,alpine:3.20,2g,warm,1000000000,0.0,highmem,133.170125,3.775792,215.125708,3
sleep 5,512,,78.54125,alpine:3.20,2g,warm,1000000000,0.0,highmem,171.313125,7.587917,257.442292,4
sleep 5,512,,81.661667,alpine:3.20,2g,warm,1000000000,0.0,highmem,170.313833,7.507042,259.48254199999997,5
sleep 5,512,0,63.332666,alpine:3.20,512m,cold,1000000000,2334.965459,pinned,123.741792,3.595,2525.6349169999994,1
sleep 5,512,0,94.169584,alpine:3.20,512m,cold,1000000000,15859.039167,pinned,130.266791,3.711875,16087.187417000001,2
sleep 5,512,0,75.661625,alpine:3.20,512m,cold,1000000000,15584.794833,pinned,137.912666,11.505125,15809.874249,3
sleep 5,512,0,88.584625,alpine:3.20,512m,cold,1000000000,15559.290958,pinned,139.444709,9.7175,15797.037792,4
sleep 5,512,0,110.35075,alpine:3.20,512m,cold,1000000000,15399.420875,pinned,190.794292,5.869667,15706.435584,5
sleep 5,512,0,77.261166,alpine:3.20,512m,warm,1000000000,0.0,pinned,124.421958,3.583583,205.26670700000003,1
sleep 5,512,0,90.381291,alpine:3.20,512m,warm,1000000000,0.0,pinned,146.60225,3.946833,240.930374,2
sleep 5,512,0,156.370209,alpine:3.20,512m,warm,1000000000,0.0,pinned,259.087375,5.8305,421.28808399999997,3
sleep 5,512,0,82.516792,alpine:3.20,512m,warm,1000000000,0.0,pinned,158.330625,3.674041,244.521458,4
sleep 5,512,0,60.584584,alpine:3.20,512m,warm,1000000000,0.0,pinned,161.267291,4.937791,226.789666,5
